song_id,song_name,duration_ms,url,popularity,song_added,album_id,artist_id
0OA00aPt3BV10qeMIs3meW,Big Dawgs,190666,https://open.spotify.com/track/0OA00aPt3BV10qeMIs3meW,86,2024-09-02 12:21:31+00:00,6Yw4204wbgmpsGTzjXBhYD,4nVa6XlBFlIkF6msW57PHp
629DixmZGHc7ILtEntuiWE,LUNCH,179586,https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE,86,2024-05-17 05:45:55+00:00,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH
59xD5osEFsaNt5PXfIKUnX,Illusion,188143,https://open.spotify.com/track/59xD5osEFsaNt5PXfIKUnX,67,2024-05-17 05:45:55+00:00,68mwSgiHv3JF9nrw9feMrt,6M2wZ9GZgrQXHCFfjv46we
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),215466,https://open.spotify.com/track/6WzRpISELf3YglGAh7TXcG,82,2024-05-17 05:45:55+00:00,5O0zUvdnJr0RbWzLFneN2i,1Xyo4u8uXC1ZmMpatF05PJ
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,142514,https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf,84,2024-05-17 05:45:55+00:00,5HIWDdg3g9CTOtnevKDl1z,0PCCGZ0wGLizHt2KZ7hhA2
5Z0UnEtpLDQyYlWwgi8m9C,Too Sweet,251424,https://open.spotify.com/track/5Z0UnEtpLDQyYlWwgi8m9C,69,2024-05-17 05:45:55+00:00,3P4SQqMMgjqfqVxgLwtYRk,2FXC3k01G6Gw61bmprjgqS
2Zo1PcszsT9WQ0ANntJbID,Feather,185552,https://open.spotify.com/track/2Zo1PcszsT9WQ0ANntJbID,85,2024-05-17 05:45:55+00:00,2g4aJTa5ejGpp0O0GKzWAQ,74KM79TiuVKeVCqs8QtB0B
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,137773,https://open.spotify.com/track/3vkCueOmm7xQDoJ17W1Pm3,88,2024-05-17 05:45:55+00:00,2Cn1d2KgbkAqbZCJ1RzdkA,2uYWxilOVlUdk4oV9DvwqK
2H2ytI7ompfNmRkI2sq8Uk,I LUV IT (feat. Playboi Carti),174880,https://open.spotify.com/track/2H2ytI7ompfNmRkI2sq8Uk,66,2024-05-17 05:45:55+00:00,32kJxu3atkwQVZ6iOjw7UB,4nDoRrQiYLoBzwC5BhVJzF
7dJYggqjKo71KI9sLzqCs8,Agora Hills,265360,https://open.spotify.com/track/7dJYggqjKo71KI9sLzqCs8,75,2024-05-17 05:45:55+00:00,6DmPNcfpkXBVRJsEIJY9tl,5cj0lLjcoR7YOSnhnX0Po5
7gaA3wERFkFkgivjwbSvkG,"yes, and?",214994,https://open.spotify.com/track/7gaA3wERFkFkgivjwbSvkG,72,2024-05-17 05:45:55+00:00,2B9amdrHDIKOoEiPUfZGtb,66CXWjxzNUsdJxJ2JdwvnR
5aIVCx5tnk0ntmdiinnYvw,Water,200255,https://open.spotify.com/track/5aIVCx5tnk0ntmdiinnYvw,84,2024-05-17 05:45:55+00:00,22sXXkKgjEuawIFL1e1tRw,3SozjO3Lat463tQICI9LcE
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,180304,https://open.spotify.com/track/6tNQ70jh4OwmPGpYy6R2o9,85,2024-05-17 05:45:55+00:00,29aSKB1qPEbN0Qf9OPSQpw,22wbnEMDvgVIAGdFeek6ET
7ov3TDp5D00Rnu5R1viX4w,New Woman (feat. ROSALÍA),179789,https://open.spotify.com/track/7ov3TDp5D00Rnu5R1viX4w,86,2024-09-02 12:21:31+00:00,2ha4ucrONN0cihLMkP02Ch,5L1lO4eRHmJ7a0Q6csE5cT
2fB5YRuD88drKpCXQOAk03,Love On,181650,https://open.spotify.com/track/2fB5YRuD88drKpCXQOAk03,65,2024-05-17 05:45:55+00:00,7I7rbWQoLZ7PrTMsRfocpL,0C8ZW7ezQVs4URX5aX7Kqx
3qhlB30KknSejmIvZZLjOD,End of Beginning,159245,https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD,89,2024-05-17 05:45:55+00:00,4JDXBZdRPId4devseaAOKH,5p9HO3XC5P3BLxJs5Mtrhm
3JG1uFc40wfyrqaWC7iv0e,i like the way you kiss me,142514,https://open.spotify.com/track/3JG1uFc40wfyrqaWC7iv0e,82,2024-09-02 12:21:31+00:00,5nzSCZ7NhKvAysI0tmNOdD,0PCCGZ0wGLizHt2KZ7hhA2
6Qb7YsAqH4wWFUMbGsCpap,Training Season,209487,https://open.spotify.com/track/6Qb7YsAqH4wWFUMbGsCpap,74,2024-05-17 05:45:55+00:00,3sqC2sXZc0b9r7WM9z3784,6M2wZ9GZgrQXHCFfjv46we
17phhZDn6oGtzMe56NuWvj,Lose Control,210688,https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj,89,2024-05-17 05:45:55+00:00,7nacKlk586eLRBSIsrk9DB,33qOK5uJ8AR2xuQQAhHump
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),228639,https://open.spotify.com/track/51ZQ1vr10ffzbwIjDCwqm4,86,2024-09-02 12:21:31+00:00,5EYKrEDnKhhcNxGedaRQeK,66CXWjxzNUsdJxJ2JdwvnR
1NMYbsFZyxwHRNaLGzFGWh,Who I Am,193776,https://open.spotify.com/track/1NMYbsFZyxwHRNaLGzFGWh,64,2024-05-17 05:45:55+00:00,5j0uoFLuAcXYz2jTWPovHX,7vk5e3vY1uw9plTHJAMwjN
2KslE17cAJNHTsI2MI0jb2,Standing Next to You,206019,https://open.spotify.com/track/2KslE17cAJNHTsI2MI0jb2,89,2024-05-17 05:45:55+00:00,5pSk3c3wVwnb2arb6ohCPU,6HaGTQPmzraVmaVxvz6EUc
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,238805,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,84,2024-09-02 12:21:31+00:00,5bfpRtBW7RNRdsm3tRyl3R,4yvcSjfu4PC0CYQyLy4wSq
4xhsWYTOGcal8zt0J161CU,Lovin On Me,138411,https://open.spotify.com/track/4xhsWYTOGcal8zt0J161CU,80,2024-05-17 05:45:55+00:00,6VCO0fDBGbRW8mCEvV95af,2LIk90788K0zvyj2JJVwkJ
2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),171782,https://open.spotify.com/track/2uqYupMHANxnwgeiXTZXzd,87,2024-09-02 12:21:31+00:00,40HsqPqeSR9Xe3IyAJWr6e,7Ez6lTtSMjMf2YSYpukP1I
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",222369,https://open.spotify.com/track/6wf7Yu7cxBSPrRlWeSeK0Q,85,2024-05-17 05:45:55+00:00,3AafSrFIbJPH6BJHiJm1Cd,6qqNVTkY8uBg9cP3Jd7DAH
4MjDJD8cW7iVeWInc2Bdyj,MONACO,267194,https://open.spotify.com/track/4MjDJD8cW7iVeWInc2Bdyj,77,2024-05-17 05:45:55+00:00,4FftCsAcXXD1nFO9RFUNFO,4q3ewBCX7sLwd24euuV69X
